Id,Evento,Fecha
0,Tratado de Rapallo,16 Abr 1922
1,Tratado de Berlín,24 Abr 1926
2,Incidente de Jinan,3 May 1928
3,Segunda Conferencia Naval de Londres,21 Ene 1930 - 22 Abr 1930
4,Guerras de Xinjiang,20 Feb 1931 - 30 Oct 1937
5,Incidente de Mukden,18 Sep 1931 - 19 Sep 1931
6,Batalla de Qiqihar,4 Nov 1931 - 18 Nov 1931
7,Batalla de Jinzhou,21 Dic 1931 - 3 Ene 1932
8,Batalla de Harbin y Establecimiento de Manchukuo,25 Ene 1932 - 4 Feb 1932
9,Primera Batalla de Shanghái,28 Ene 1932 - 8 Mar 1932
10,Primera Batalla de Hebei,1 Ene 1933 - 22 May 1933
11,El Incendio del Reichstag,27 Feb 1933
12,Pacto Balcánico,9 Feb 1934
13,Rechazo de Japón al Tratado de Washington,19 Dic 1934
14,Acuerdo Naval Anglo-Alemán,18 Jun 1935
15,Invasión de Abisinia,3 Oct 1935 - 5 May 1936
16,Tercera Conferencia Naval de Londres,9 Dic 1935 - 25 Mar 1936
17,Pacto Hoare-Laval,10 Dic 1935
18,Remilitarización de Renania,7 Mar 1936
19,Incidente de Tauran,11 Mar 1936
20,Guerra Civil Española,17 Jul 1936 - 4 Abr 1939
21,Batalla de Suiyuan,20 Oct 1936 - 17 Nov 1936
22,Pacto Anti-Komintern,25 Nov 1936
23,Incidente de Xi'an,12 Dic 1936 - 24 Dic 1936
24,Incidente del Puente Lugou y Segunda Batalla de Hebei,7 Jul 1937 - 8 Ago 1937
25,Batalla de Chahar,1 Ago 1937 - 12 Ago 1937
26,Operaciones Ferroviarias Beiping-Hankou y Tianjin-Pukou,1 Ago 1937 - 31 Dic 1937
27,Segunda Batalla de Shanghái,13 Ago 1937 - 9 Nov 1937
28,"Bombardeo de Shanghái, Chongqing y otras Ciudades",15 Ago 1937 - 23 Ago 1943
29,Batalla de Shanxi,1 Sep 1937 - 11 Nov 1937
30,Conferencia de Hossbach,5 Nov 1937
31,Batalla de Nankín y Violación de Nankín,9 Dic 1937 - 31 Ene 1938
32,Ruta de Birmania y el Hump,1 Ene 1938 - 10 Nov 1945
33,Campaña de Henan,7 Feb 1938 - 10 Jun 1938
34,Anexión de Austria,12 Mar 1938 - 10 Abr 1938
35,Encuentro en el Paso de Brennero,18 Mar 1938
